welkin			天空的穹顶，天堂，高层的大气
hornbill		犀鸟
boudoir			闺房，古代贵族妇女的会客室
décor			装饰，布景，家居风格
vial			小瓶，药水瓶
lolly			棒棒糖
lollygag		浪费时间
carcass			尸体，残骸
predicament		困境，窘况
foment			煽动，挑起，热敷
mésalliance		非门当户对的婚姻
instill			灌输，缓慢滴入
smolder			闷烧
knead			揉面，按摩
inordinately	
chamomile		[n]<<botany>>甘菊
cheeky			厚颜无耻的
smooch			接吻，弄脏；污迹
cabaret			歌舞厅
chameleon		变色龙
courtesy		礼貌，礼节
demented		发狂的
nip				捏，夹，掐断
herpetology		[n]<<biology>>爬虫学
syphilis		[n]<<medical>>梅毒
excruciating	折磨人的
undeterred		未受阻的，未被吓住的
slumber			睡眠，麻木不仁
carefree		无忧无虑的
lenient			宽大的，仁慈的
fainéant		无所事事的
swath			细长的列
venture			敢于；有风险的企业
hawk			鹰；叫卖，清嗓子，严密监视
sparrowhawk		雀鹰
neckhole		领圈
taxidermy		（动物标本）剥制术
wile			欺骗，消遣；诡计，阴谋
forewarn		预先警告
ulterior		将来的，隐秘不明的
break bread		共餐
adjunct			附属物，修饰语，助手
wily			狡猾的，诡计多端的
mound			堆，高地，坟堆；堆积
bestow			授予
diviner			预言者
partake			吃，分享，分担
audacious		无畏的，鲁莽的
ferocious		残忍的，惊人的，狰狞的
talon			爪子
drake			公鸭，蜉蝣
prowl			徘徊，潜行，搜寻
menad			女祭司，暴怒的女人
rear			后面，后方部队，屁股；后面的；养育，抚养，栽种，用后腿直立
velvet			天鹅绒
velvety			天鹅绒一般柔软的
slime			粘液，烂泥
forethought		预谋；预先计划好的
eerie			可怕的，怪异的
craving			渴望 
loiter			虚度，闲荡
heretofore		迄今为止
seaweed			海藻，海草，海带
ornery			坏脾气的，低劣的
da capo			从头重复乐曲
dacquoise		蛋白酥皮奶油卷
lacrimal		泪的，泪腺的
daffy			愚笨的，疯狂的
Dadaism			崇尚虚无派
daffodil		水仙花
daguerreotype	银版照相
dagwood			多层三明治
dainty			美味的，讲究的
dais			讲台
hilt			刀把，柄
to the hilt		最大限度，完全
incentivize		用物质奖励刺激
plaster			石膏，膏药；减轻，粘贴
railroad		铁路；用错误的指控或不充足的证据以不正当的速度定罪，不假思索地挤过去
mot juste		最恰当的用词或短语
lynch			私刑；处以私刑
clunk			沉闷的金属声；用力敲打，发出咚咚的声音
clunky			沉重的，笨拙的 
requiem			安魂曲
dirge			挽歌
threnody		挽歌
dandle			在胳膊或膝盖上上下移动来表达亲密，宠爱
cocker			溺爱
mollycoddle		溺爱
pamper			溺爱，逗乐
glut			供过于求；供应过多，吃得过饱
wet-nurse		乳母；当乳母，关爱
udder			乳房
dandify			打扮时髦
dapper			短小精悍的
darkroom		（摄影）暗室
darken someone's door		出现在一个某人已不再被欢迎的地方
cyclosporine	环孢霉素
personage		要人，名人
uncanny			神秘的，可怕的，离奇的
voluminous		大量的，大的，盘曲折叠的
hulking			笨重的，质量大的
bantam			身材矮小且常处于战斗性格的人；小的，傲慢好战的
pert			无礼的，鲁莽的，时髦的，活泼鼓舞的，有生气的
jaunty			活泼的，有生气的 
beret			带有头饰和软平顶的没有帽舌的羊毛帽子
combative		好战的
stature			身材，高度
dinky			极小的，整洁的，微不足道的
smallish		
puny			弱小的，微不足道的
pygmy			侏儒；矮小的
shrimpy			矮小的
largish			
whopping		巨大的；非常
whop			打，抽出，征服；重击，击打声
whack			用有回声的打击打，打败；有回声的一击，部分，分成，状态，做某事的机会或尝试
out of whack	不在正常的秩序或形态，不合拍
whacking		巨大的，惊人的；非常，绝对
facultative		授权的，可选的，在特定场合下发生的
embalm			保护死尸以防腐烂，喷香水
dastard			懦夫；可鄙的
daunt			使气馁
date rape		约会强暴
daybreak		黎明，破晓
day-neutral		无论有无阳光均能生长的
dazzle			耀眼的光芒；使目眩
daystar			晨星
